Country,Region,Continent,constant_2016_usd,current_usd,share_of_gdp,per_capita,share_of_govt_spending
Algeria,North Africa,Africa,10217,10217.1,6.4%,251.6,15.1%
Libya,North Africa,Africa,na,na,na,na,na
Morocco,North Africa,Africa,3327,3327.0,3.2%,94.3,10.6%
Tunisia,North Africa,Africa,988,987.7,2.3%,86.6,8.2%
Angola,Sub-Saharan,Africa,2824,2824.3,2.6%,98.0,12.5%
Benin,Sub-Saharan,Africa,79.6,79.6,0.9%,7.3,4.4%
Botswana,Sub-Saharan,Africa,514,514.5,3.3%,228.6,9.8%
Burkina Faso,Sub-Saharan,Africa,149,149.5,1.2%,8.0,5.4%
Burundi,Sub-Saharan,Africa,66.5,66.5,2.2%,6.3,10.0%
Cameroon,Sub-Saharan,Africa,387,387.4,1.3%,16.5,5.9%
Cape Verde,Sub-Saharan,Africa,10.2,10.2,0.6%,18.9,2.1%
Central African Rep.,Sub-Saharan,Africa,27,26.8,1.4%,na,12.2%
Chad,Sub-Saharan,Africa,310,309.6,3.2%,21.4,21.1%
Congo,Sub-Saharan,Africa,562,561.5,7.1%,109.6,15.8%
"Congo, Dem. Rep.",Sub-Saharan,Africa,396,395.7,0.9%,5.0,8.0%
Côte d’Ivoire,Sub-Saharan,Africa,603,602.5,1.7%,25.4,7.1%
Djibouti,Sub-Saharan,Africa,na,na,na,na,na
Equatorial Guinea,Sub-Saharan,Africa,18.2,18.2,0.2%,14.9,0.6%
Eritrea,Sub-Saharan,Africa,na,na,na,na,na
Ethiopia,Sub-Saharan,Africa,469,468.7,0.7%,4.6,3.6%
Gabon,Sub-Saharan,Africa,203,202.8,1.4%,102.4,6.6%
Gambia,Sub-Saharan,Africa,na,na,na,na,na
Ghana,Sub-Saharan,Africa,162,161.8,0.4%,5.7,1.5%
Guinea,Sub-Saharan,Africa,162,161.9,2.5%,13.1,11.7%
Guinea-Bissau,Sub-Saharan,Africa,na,na,na,na,na
Kenya,Sub-Saharan,Africa,933,933.1,1.3%,19.3,4.8%
Lesotho,Sub-Saharan,Africa,41.5,41.5,2.0%,18.8,3.8%
Liberia,Sub-Saharan,Africa,14.6,14.6,0.7%,3.2,1.9%
Madagascar,Sub-Saharan,Africa,59.4,59.4,0.6%,2.4,3.7%
Malawi,Sub-Saharan,Africa,35.7,35.7,0.7%,2.0,2.3%
Mali,Sub-Saharan,Africa,362,362.4,2.6%,20.1,11.6%
Mauritania,Sub-Saharan,Africa,136,136.1,4.1%,31.6,10.3%
Mauritius,Sub-Saharan,Africa,23,23.0,0.2%,18.2,0.7%
Mozambique,Sub-Saharan,Africa,112,112.2,1.0%,3.9,3.2%
Namibia,Sub-Saharan,Africa,416,416.0,3.8%,167.7,9.7%
Niger,Sub-Saharan,Africa,166,166.2,2.2%,8.0,8.3%
Nigeria,Sub-Saharan,Africa,1723,1723.2,0.4%,9.3,4.3%
Rwanda,Sub-Saharan,Africa,107.3,107.3,1.0%,9.0,4.9%
Senegal,Sub-Saharan,Africa,305,304.8,2.1%,19.8,6.7%
Seychelles,Sub-Saharan,Africa,22.0,22.0,1.6%,233.4,4.1%
Sierra Leone,Sub-Saharan,Africa,26.8,26.8,0.8%,3.6,3.4%
Somalia,Sub-Saharan,Africa,na,47.7,na,na,na
South Africa,Sub-Saharan,Africa,3172,3171.8,1.1%,56.6,3.3%
South Sudan,Sub-Saharan,Africa,135,135.3,3.8%,11.1,8.3%
Sudan,Sub-Saharan,Africa,2749,2748.5,2.5%,69.4,25.0%
Swaziland,Sub-Saharan,Africa,67.3,67.3,1.6%,50.1,5.0%
